v1	I(D1)
5.640000000000004e-01	2.951468e-05
5.650000000000004e-01	3.067813e-05
5.660000000000004e-01	3.188744e-05
5.670000000000004e-01	3.314443e-05
5.680000000000004e-01	3.445097e-05
5.690000000000004e-01	3.580901e-05
5.700000000000004e-01	3.722058e-05
5.710000000000004e-01	3.868779e-05
5.720000000000004e-01	4.021285e-05
5.730000000000004e-01	4.179802e-05
5.740000000000004e-01	4.344567e-05
5.750000000000004e-01	4.515828e-05
5.760000000000004e-01	4.693839e-05
5.770000000000004e-01	4.878868e-05
5.780000000000004e-01	5.071190e-05
5.790000000000004e-01	5.271094e-05
5.800000000000004e-01	5.478878e-05
5.810000000000004e-01	5.694852e-05
5.820000000000004e-01	5.919340e-05
5.830000000000004e-01	6.152677e-05
5.840000000000004e-01	6.395212e-05
5.850000000000004e-01	6.647308e-05
5.860000000000004e-01	6.909342e-05
5.870000000000004e-01	7.181704e-05
5.880000000000004e-01	7.464804e-05
5.890000000000004e-01	7.759062e-05
5.900000000000004e-01	8.064920e-05
5.910000000000004e-01	8.382835e-05
5.920000000000004e-01	8.713282e-05
5.930000000000004e-01	9.056755e-05
5.940000000000004e-01	9.413767e-05
5.950000000000004e-01	9.784853e-05
5.960000000000004e-01	1.017057e-04
5.970000000000004e-01	1.057149e-04
5.980000000000004e-01	1.098821e-04
5.990000000000004e-01	1.142136e-04
6.000000000000004e-01	1.187158e-04
6.010000000000004e-01	1.233955e-04
6.020000000000004e-01	1.282597e-04
6.030000000000004e-01	1.333156e-04
6.040000000000004e-01	1.385709e-04
6.050000000000004e-01	1.440333e-04
6.060000000000004e-01	1.497110e-04
6.070000000000004e-01	1.556125e-04
6.080000000000004e-01	1.617467e-04
6.090000000000004e-01	1.681226e-04
6.100000000000004e-01	1.747499e-04
6.110000000000004e-01	1.816385e-04
6.120000000000004e-01	1.887986e-04
6.130000000000004e-01	1.962409e-04
6.140000000000004e-01	2.039766e-04
6.150000000000004e-01	2.120173e-04
6.160000000000004e-01	2.203749e-04
6.170000000000004e-01	2.290619e-04
6.180000000000004e-01	2.380915e-04
6.190000000000004e-01	2.474769e-04
6.200000000000004e-01	2.572323e-04
6.210000000000004e-01	2.673723e-04
6.220000000000004e-01	2.779119e-04
6.230000000000004e-01	2.888671e-04
6.240000000000004e-01	3.002541e-04
6.250000000000004e-01	3.120899e-04
6.260000000000004e-01	3.243923e-04
6.270000000000004e-01	3.371797e-04
6.280000000000004e-01	3.504711e-04
6.290000000000004e-01	3.642865e-04
6.300000000000004e-01	3.786465e-04
6.310000000000004e-01	3.935726e-04
6.320000000000005e-01	4.090870e-04
6.330000000000005e-01	4.252130e-04
6.340000000000005e-01	4.419746e-04
6.350000000000005e-01	4.593971e-04
6.360000000000005e-01	4.775063e-04
6.370000000000005e-01	4.963293e-04
6.380000000000005e-01	5.158943e-04
6.390000000000005e-01	5.362306e-04
6.400000000000005e-01	5.573685e-04
6.410000000000005e-01	5.793397e-04
6.420000000000005e-01	6.021770e-04
6.430000000000005e-01	6.259145e-04
6.440000000000005e-01	6.505877e-04
6.450000000000005e-01	6.762335e-04
6.460000000000005e-01	7.028903e-04
6.470000000000005e-01	7.305978e-04
6.480000000000005e-01	7.593976e-04
6.490000000000005e-01	7.893327e-04
6.500000000000005e-01	8.204477e-04
6.510000000000005e-01	8.527894e-04
6.520000000000005e-01	8.864059e-04
6.530000000000005e-01	9.213475e-04
6.540000000000005e-01	9.576665e-04
6.550000000000005e-01	9.954172e-04
6.560000000000005e-01	1.034656e-03
6.570000000000005e-01	1.075442e-03
6.580000000000005e-01	1.117835e-03
6.590000000000005e-01	1.161899e-03
6.600000000000005e-01	1.207701e-03
6.610000000000005e-01	1.255308e-03
6.620000000000005e-01	1.304791e-03
6.630000000000005e-01	1.356226e-03
6.640000000000005e-01	1.409687e-03
6.650000000000005e-01	1.465256e-03
6.660000000000005e-01	1.523016e-03
6.670000000000005e-01	1.583053e-03
6.680000000000005e-01	1.645456e-03
6.690000000000005e-01	1.710319e-03
6.700000000000005e-01	1.777738e-03
6.710000000000005e-01	1.847816e-03
6.720000000000005e-01	1.920656e-03
6.730000000000005e-01	1.996367e-03
6.740000000000005e-01	2.075063e-03
6.750000000000005e-01	2.156861e-03
6.760000000000005e-01	2.241883e-03
6.770000000000005e-01	2.330257e-03
6.780000000000005e-01	2.422114e-03
6.790000000000005e-01	2.517593e-03
6.800000000000005e-01	2.616835e-03
6.810000000000005e-01	2.719989e-03
6.820000000000005e-01	2.827210e-03
6.830000000000005e-01	2.938657e-03
6.840000000000005e-01	3.054497e-03
6.850000000000005e-01	3.174904e-03
6.860000000000005e-01	3.300057e-03
6.870000000000005e-01	3.430143e-03
6.880000000000005e-01	3.565358e-03
6.890000000000005e-01	3.705902e-03
6.900000000000005e-01	3.851987e-03
6.910000000000005e-01	4.003830e-03
6.920000000000005e-01	4.161659e-03
6.930000000000005e-01	4.325710e-03
6.940000000000005e-01	4.496227e-03
6.950000000000005e-01	4.673466e-03
6.960000000000005e-01	4.857691e-03
6.970000000000005e-01	5.049179e-03
6.980000000000005e-01	5.248215e-03
6.990000000000005e-01	5.455097e-03
7.000000000000005e-01	5.670134e-03
7.010000000000005e-01	5.893647e-03
7.020000000000005e-01	6.125972e-03
7.030000000000005e-01	6.367454e-03
7.040000000000005e-01	6.618456e-03
7.050000000000005e-01	6.879352e-03
7.060000000000005e-01	7.150533e-03
7.070000000000005e-01	7.432403e-03
7.080000000000005e-01	7.725384e-03
7.090000000000005e-01	8.029914e-03
7.100000000000005e-01	8.346450e-03
7.110000000000005e-01	8.675463e-03
7.120000000000005e-01	9.017444e-03
7.130000000000005e-01	9.372908e-03
7.140000000000005e-01	9.742382e-03
7.150000000000005e-01	1.012642e-02
7.160000000000005e-01	1.052560e-02
7.170000000000005e-01	1.094051e-02
7.180000000000005e-01	1.137178e-02
7.190000000000005e-01	1.182005e-02
7.200000000000005e-01	1.228599e-02
7.210000000000005e-01	1.277030e-02
7.220000000000005e-01	1.327370e-02
7.230000000000005e-01	1.379694e-02
7.240000000000005e-01	1.434081e-02
7.250000000000005e-01	1.490612e-02
7.260000000000005e-01	1.549371e-02
7.270000000000005e-01	1.610446e-02
7.280000000000005e-01	1.673929e-02
7.290000000000005e-01	1.739914e-02
7.300000000000005e-01	1.808501e-02
7.310000000000005e-01	1.879791e-02
7.320000000000005e-01	1.953891e-02
7.330000000000005e-01	2.030913e-02
